>NC_011165	Pseudomonas phage LBL3
YP_007518424.1	1
YP_007518446.1	1
>NC_015253	Brochothrix phage A9
YP_004301478.1	1
YP_004301511.1	2
>NC_024794	Escherichia phage vB_EcoM_PhAPEC2
YP_009056639.1	1
YP_009056679.1	1
YP_009056691.1	1
YP_009056797.1	18
YP_009056812.1	1
YP_009056839.1	9
>NC_004456	Vibrio phage VHML
NP_758912.1	2
NP_758915.1	1
NP_758923.1	1
NP_758925.1	1
NP_758937.1	2
NP_758949.1	2
>NC_016163	Yersinia phage phiR1-37
YP_004934283.1	4
YP_004934318.1	1
YP_004934447.1	3
YP_004934477.1	1
YP_004934495.1	3
YP_004934520.1	2
YP_004934532.1	1
YP_004934545.1	9
YP_004934563.1	3
>NC_007149	Vibriophage VP4
YP_249577.1	1
YP_249580.2	6
YP_249581.1	1
YP_249585.1	1
YP_249590.1	1
YP_249597.1	2
>NC_025115	Ralstonia phage RSY1
YP_009067079.1	1
YP_009067084.1	3
YP_009067085.1	1
YP_009067086.1	1
YP_009067094.1	1
YP_009067097.1	13
YP_009067100.1	1
YP_009067101.1	1
YP_009067102.1	4
YP_009067106.1	1
YP_009067126.1	4
>NC_005841	Enterobacteria phage ST104
YP_006358.1	17
YP_006378.1	1
YP_006384.1	2
YP_006397.1	1
YP_006405.1	1
>NC_009526	Staphylococcus phage 80alpha
YP_001285315.1	7
YP_001285330.1	1
>NC_027996	Campylobacter virus CPt10
YP_009169079.1	3
YP_009169102.1	2
>NC_019512	Helicobacter phage 1961P
YP_007005670.1	2
>NC_015286	Synechococcus phage Syn19
YP_004323866.1	2
YP_004323920.1	1
YP_004323921.1	1
YP_004323932.1	1
YP_004323934.1	1
YP_004323940.1	3
YP_004323941.1	10
YP_004323948.1	1
YP_004323950.1	4
YP_004323962.1	1
YP_004323967.1	1
YP_004323990.1	1
YP_004323992.1	6
YP_004323995.1	1
YP_004323999.1	1
YP_004324011.1	1
YP_004324012.1	1
YP_004324016.1	1
YP_004324023.1	2
>NC_007049	Staphylococcus phage 53
YP_239679.1	7
YP_239694.1	1
>NC_022058	Mycobacterium phage Adzzy
YP_008409351.1	1
YP_008409354.1	1
YP_008409371.1	1
YP_008409388.1	1
>NC_006963	Blackberry yellow vein-associated virus
YP_227360.1	5
>NC_013647	Klebsiella phage KP32
YP_003347522.1	1
YP_003347534.1	2
YP_003347539.1	1
YP_003347550.1	1
YP_003347554.1	1
YP_003347561.1	2
>NC_022096	Pseudomonas phage PaBG
YP_008433371.1	2
YP_008433396.1	9
YP_008433466.1	1
YP_008433476.1	16
YP_008433477.1	9
YP_008433519.1	4
YP_008433545.1	1
YP_008433579.1	1
YP_008433620.1	1
>NC_009877	Mycobacterium phage U2
YP_001491621.1	1
YP_001491631.1	1
>NC_008603	Paramecium bursaria Chlorella virus FR483
YP_001425635.1	2
YP_001425667.1	27
YP_001425727.1	3
YP_001425742.1	13
YP_001425855.1	3
YP_001425901.1	1
YP_001426053.1	1
YP_001426180.1	1
YP_001426181.1	7
YP_001426204.1	3
YP_001426221.1	1
YP_001426283.1	1
YP_001426344.1	7
YP_001426365.1	60
YP_001426398.1	4
YP_001426416.1	2
>NC_019421	Clostridium phage phiMMP02
YP_006990480.1	3
YP_006990544.1	3
>NC_001798	Human alphaherpesvirus 2
YP_009137153.1	2
>NC_023615	Invertebrate iridescent virus 22
YP_009010804.1	10
YP_009010824.1	1
YP_009010863.1	2
YP_009010871.1	5
YP_009010902.1	4
YP_009010908.1	4
>NC_013648	Enterococcus phage phiFL3A
YP_003347563.1	3
YP_003347584.1	1
>NC_006949	Enterobacteria phage ES18
YP_224157.1	1
YP_224186.1	8
>NC_006565	Lactobacillus virus LP65
YP_164769.1	4
>NC_023552	Mycobacterium phage Donovan
YP_009004401.2	3
YP_009004418.1	1
YP_009004420.1	1
YP_009004428.1	3
>NC_023725	Mycobacterium phage Nappy
YP_009016569.1	1
YP_009016596.1	1
YP_009016641.1	17
YP_009016643.1	1
YP_009016692.1	7
>NC_019719	Enterobacteria phage HK633
YP_007112295.1	1
YP_007112300.1	1
YP_007112327.1	6
YP_007112334.1	1
>NC_022982	Xylella phage Paz
YP_008858890.1	1
YP_008858892.1	1
YP_008858910.1	1
YP_008858920.1	1
YP_008858923.1	2
>NC_005893	Lactobacillus phage phiAT3
YP_025041.1	5
>NC_021311	Mycobacterium phage Phaux
YP_008052181.1	1
YP_008052200.1	1
YP_008052257.1	1
YP_008052275.1	3
YP_008052276.1	1
YP_008052277.1	6
YP_008052287.1	1
YP_008052289.1	15
>NC_008376	Geobacillus phage GBSV1
YP_764458.1	1
YP_764473.1	2
YP_764493.1	1
YP_764501.1	1
>NC_023587	Synechococcus phage ACG-2014h
YP_009008142.1	1
YP_009008166.1	3
YP_009008207.1	2
YP_009008227.1	6
YP_009008230.1	3
YP_009008239.1	2
YP_009008243.1	2
YP_009008253.1	1
YP_009008279.1	1
YP_009008282.1	1
YP_009008284.1	1
YP_009008310.1	1
YP_009008314.1	1
>NC_019550	Liberibacter phage SC2
YP_007011113.1	2
>NC_020841	Psychrobacter phage pOW20-A
YP_007673321.1	10
YP_007673336.1	12
YP_007673350.1	10
YP_007673352.1	6
>NC_008194	Mycobacterium virus 244
YP_654784.1	1
YP_654837.1	1
YP_654856.1	1
YP_654857.1	6
YP_654868.1	1
YP_654870.1	15
>NC_003310	Monkeypox virus Zaire-96-I-16
NP_536458.1	3
NP_536461.1	1
NP_536492.1	11
>NC_015271	Salmonella phage Vi06
YP_004306685.1	1
YP_004306686.1	1
YP_004306690.1	1
YP_004306697.1	1
>NC_003309	Burkholderia virus phiE125
NP_536358.1	3
NP_536360.1	3
NP_536366.1	1
NP_536371.1	1
NP_536377.1	1
NP_536383.1	2
NP_536389.1	1
NP_536390.1	1
NP_536395.1	14
NP_536396.1	3
NP_536409.1	1
NP_536412.1	1
NP_536413.1	3
>NC_019525	Bdellovibrio phage phi1422
YP_007007089.1	1
YP_007007123.1	3
>NC_024329	Podovirus Lau218
YP_009042132.1	2
YP_009042145.1	8
YP_009042150.1	2
YP_009042152.1	5
YP_009042163.1	4
YP_009042166.1	1
YP_009042171.1	1
YP_009042178.1	1
>NC_025452	Dickeya phage RC-2014
YP_009102873.1	1
YP_009103019.1	2
>NC_018838	Propionibacterium phage P100_A
YP_006906438.1	1
>NC_022071	Mycobacterium phage Crossroads
YP_008410945.1	2
YP_008410960.1	1
>NC_003313	Vibrio phage K139
NP_536648.1	2
>NC_014636	Aeromonas phage phiAS5
YP_003969303.1	1
YP_003969310.1	1
YP_003969377.1	9
YP_003969390.1	1
YP_003969394.1	2
YP_003969413.1	3
YP_003969421.1	4
YP_003969427.1	8
>NC_005178	Pseudomonas phage D3112
NP_938234.1	1
NP_938262.1	1
>NC_013638	Pseudomonas phage phi-2
YP_003345487.1	2
YP_003345504.1	1
>NC_023699	Mycobacterium phage SG4
YP_009013258.1	2
YP_009013263.1	1
YP_009013266.1	3
YP_009013272.1	1
>NC_023577	Mycobacterium phage Obama12
YP_009007243.1	1
YP_009007245.1	1
YP_009007248.1	1
YP_009007253.1	2
YP_009007257.1	1
YP_009007272.1	3
>NC_023706	Rhodococcus phage ReqiDocB7
YP_009013826.1	1
YP_009013835.1	4
YP_009013838.1	1
>NC_022763	Bacillus phage Spock
YP_008770265.1	4
YP_008770269.1	3
YP_008770290.1	2
YP_008770368.1	2
YP_008770440.1	16
>NC_004117	Mamestra configurata nucleopolyhedrovirus B
NP_689178.1	1
NP_689201.1	1
NP_689248.1	2
NP_689342.1	7
>NC_011269	Mycobacterium phage ScottMcG
YP_002224133.1	1
YP_002224160.1	1
YP_002224201.1	13
YP_002224252.1	7
>NC_023720	Mycobacterium phage Perseus
YP_009015992.1	1
YP_009016045.1	2
YP_009016048.1	1
>NC_003494	Infectious spleen and kidney necrosis virus
NP_612244.1	1
NP_612250.1	3
>NC_024784	Escherichia phage vB_EcoS_AHS24
YP_009055373.1	1
YP_009055374.1	1
>NC_019398	Cronobacter phage vB_CsaM_GAP161
YP_006986301.1	1
YP_006986338.1	1
YP_006986340.1	1
YP_006986395.1	1
YP_006986422.1	6
YP_006986425.1	1
YP_006986484.1	1
YP_006986516.1	1
>NC_007383	Trichoplusia ni single nucleopolyhedrovirus
YP_308891.1	1
YP_308998.1	1
YP_309033.1	2
>NC_005891	Vibrio phage VP5
YP_024988.1	2
>NC_022338	Propionibacterium phage PHL060L00
YP_008531762.1	1
>NC_017974	Cronobacter phage CR3
YP_006383043.1	1
YP_006383099.1	2
YP_006383216.1	8
YP_006383224.1	3
YP_006383273.1	1
YP_006383277.1	1
>NC_024697	Aureococcus anophagefferens virus
YP_009052120.1	13
YP_009052149.1	6
YP_009052151.1	1
YP_009052154.1	12
YP_009052166.1	4
YP_009052186.1	7
YP_009052194.1	1
YP_009052204.1	1
YP_009052208.1	1
YP_009052240.1	1
YP_009052282.1	1
YP_009052316.1	8
YP_009052367.1	16
YP_009052380.1	21
YP_009052394.1	13
YP_009052396.1	3
>NC_004812	Macacine alphaherpesvirus 1
NP_851861.2	5
>NC_022067	Mycobacterium phage Wanda
YP_008410401.1	1
YP_008410402.1	1
YP_009046994.1	20
>NC_023602	Mycobacterium phage 32HC
YP_009009474.1	2
YP_009009482.1	1
YP_009009518.1	2
YP_009009544.1	1
>NC_018875	Epinotia aporema granulovirus
YP_006908521.1	2
>NC_016072	Megavirus chiliensis
YP_004894145.1	1
YP_004894259.1	5
YP_004894291.1	1
YP_004894295.1	5
YP_004894325.1	1
YP_004894335.1	1
YP_004894356.1	1
YP_004894374.1	7
YP_004894381.1	4
YP_004894392.1	1
YP_004894397.1	7
YP_004894403.1	30
YP_004894409.1	10
YP_004894410.1	4
YP_004894416.1	2
YP_004894424.1	10
YP_004894430.1	3
YP_004894451.1	12
YP_004894454.1	3
YP_004894459.1	11
YP_004894460.1	1
YP_004894468.1	2
YP_004894480.1	14
YP_004894525.1	1
YP_004894551.1	33
YP_004894581.1	5
YP_004894585.1	2
YP_004894586.1	1
YP_004894587.1	7
YP_004894591.1	7
YP_004894594.1	1
YP_004894644.1	7
YP_004894671.1	15
YP_004894687.1	2
YP_004894695.1	2
YP_004894708.1	7
YP_004894718.1	2
YP_004894726.1	1
YP_004894780.1	22
YP_004894796.1	17
YP_004894822.1	5
YP_004894830.1	4
YP_004894858.1	5
YP_004894907.1	11
YP_004894915.1	2
YP_004894926.1	10
YP_004895032.1	1
YP_004895037.1	1
YP_004895060.1	3
YP_004895145.1	12
>NC_023502	Rhizobium phage vB_RleS_L338C
YP_009003163.1	7
YP_009003165.1	6
YP_009003197.1	1
YP_009003207.1	10
YP_009003216.1	2
YP_009003226.1	5
>NC_023607	Mycobacterium phage 40AC
YP_009009849.1	1
YP_009009872.1	1
YP_009009885.1	1
YP_009009890.1	1
YP_009009900.1	1
YP_009009917.1	3
>NC_022323	Escherichia phage JES2013
YP_008530323.1	1
YP_008530457.1	1
YP_008530462.1	5
YP_008530464.1	2
>NC_000929	Escherichia virus Mu
NP_050626.1	1
NP_050633.1	1
NP_050643.1	1
NP_050648.1	2
NP_050655.1	9
>NC_023426	Anomala cuprea entomopoxvirus
YP_009001498.1	87
YP_009001512.1	1
>NC_008574	Ralstonia phage RSM1
YP_863918.1	9
>NC_020848	Vibrio phage VBP47
YP_007674105.1	2
YP_007674139.1	3
YP_007674157.1	2
>NC_019513	Staphylococcus phage SMSAP5
YP_007005697.1	1
YP_007005698.1	3
YP_007005706.1	1
YP_007005733.1	2
>NC_021348	Mycobacterium phage ArcherS7
YP_008061363.1	1
YP_008061391.1	1
YP_008061438.1	13
YP_008061492.1	7
>NC_021344	Escherichia phage Lw1
YP_008060574.1	1
YP_008060588.1	1
YP_008060646.1	1
YP_008060662.1	1
YP_008060673.1	6
YP_008060733.1	1
YP_008060764.1	1
>NC_025449	Escherichia phage ECML-134
YP_009102701.1	1
YP_009102717.1	1
YP_009102734.1	9
>NC_023610	Erwinia phage PhiEaH1
YP_009010160.1	7
YP_009010165.1	1
YP_009010166.1	2
YP_009010176.1	9
YP_009010254.1	1
>NC_025466	Shewanella sp. phage 3/49
YP_009103891.1	1
YP_009103900.1	5
YP_009103932.1	1
>NC_018272	Nonlabens phage P12024L
YP_006560405.1	2
YP_006560407.1	1
YP_006560414.1	6
YP_006560416.1	1
YP_006560420.1	1
YP_006560425.1	1
YP_006560427.1	3
YP_006560438.1	2
YP_006560442.1	2
YP_006560444.1	1
>NC_018847	Propionibacterium phage ATCC29399B_T
YP_006906933.1	1
>NC_024451	Armadillidium vulgare iridescent virus
YP_009046670.1	1
YP_009046711.1	4
YP_009046734.1	10
YP_009046747.1	1
YP_009046811.1	2
>NC_025458	Shewanella sp. phage 1/41
YP_009103293.1	1
YP_009103299.1	1
YP_009103303.1	1
YP_009103308.1	1
YP_009103319.1	1
YP_009103330.1	3
>NC_015457	Shigella phage Shfl2
YP_004415122.1	1
YP_004415125.1	2
YP_004415136.1	1
YP_004415153.1	9
>NC_015719	Escherichia phage K30
YP_004678728.1	1
YP_004678739.1	1
YP_004678744.1	3
YP_004678757.1	1
YP_004678761.1	1
YP_004678767.1	2
>NC_012788	Mycobacterium phage Angel
YP_002941890.1	4
>NC_013643	Enterococcus phage phiFL2A
YP_003347292.1	3
YP_003347311.1	1
YP_003347315.1	1
>NC_023553	Mycobacterium phage Echild
YP_009004461.1	1
YP_009004493.1	3
YP_009004500.1	1
YP_009004505.1	1
YP_009004513.1	1
>NC_005882	Burkholderia virus BcepMu
YP_024677.1	6
YP_024678.1	1
YP_024679.1	1
YP_024725.1	1
>NC_019506	Clostridium phage phiCP13O
YP_007005038.1	1
>NC_014637	Cafeteria roenbergensis virus BV-PW1
YP_003969668.1	10
YP_003969675.1	10
YP_003969680.1	2
YP_003969683.1	2
YP_003969699.1	2
YP_003969716.1	4
YP_003969738.1	3
YP_003969739.1	1
YP_003969745.1	8
YP_003969747.1	6
YP_003969750.1	2
YP_003969759.1	3
YP_003969760.1	1
YP_003969769.1	1
YP_003969781.1	7
YP_003969850.1	4
YP_003969856.1	3
YP_003969869.1	12
YP_003969873.1	7
YP_003969874.1	1
YP_003969897.1	1
YP_003969899.1	13
YP_003969911.1	1
YP_003969958.1	14
YP_003969971.1	1
YP_003970001.1	5
YP_003970003.1	21
YP_003970036.1	35
YP_003970040.1	4
YP_003970059.1	6
YP_003970087.1	5
YP_003970111.1	11
YP_003970112.1	10
YP_003970119.1	3
YP_003970135.1	2
>NC_013694	Mycobacterium phage Peaches
YP_003358736.1	1
YP_003358753.1	1
YP_003358755.1	2
YP_003358757.1	1
YP_003358765.1	1
YP_003358780.1	4
>NC_022968	Escherichia phage 4MG
YP_008857219.1	2
YP_008857235.1	1
YP_008857255.1	1
YP_008857290.1	1
YP_008857307.1	1
YP_008857309.1	8
YP_008857323.1	1
YP_008857355.1	1
YP_008857370.1	6
>NC_015285	Prochlorococcus phage Syn33
YP_004323665.1	3
YP_004323698.1	1
YP_004323710.1	1
YP_004323712.1	2
YP_004323718.1	2
YP_004323724.1	1
YP_004323727.1	2
YP_004323731.1	1
YP_004323732.1	1
YP_004323735.1	1
YP_004323739.1	1
YP_004323745.1	1
YP_004323777.1	1
YP_004323781.1	2
YP_004323795.1	1
YP_004323799.1	1
YP_004323805.1	2
YP_004323822.1	1
YP_004323825.1	10
YP_004323833.1	1
>NC_023600	Mycobacterium phage Jolie1
YP_009009204.1	2
YP_009009218.1	1
>NC_020199	Staphylococcus phage phi7401PVL
YP_007392376.1	1
YP_007392380.1	3
YP_007392382.1	1
YP_007392386.1	1
YP_007392388.1	2
>NC_012223	Escherichia virus SSL2009a
YP_002720086.1	1
YP_008550180.1	1
>NC_019448	Staphylococcus phage GH15
YP_007002173.1	1
YP_007002233.1	2
YP_007002264.1	6
YP_007002326.1	1
>NC_023568	Vibrio phage VH7D
YP_009006083.1	1
YP_009006085.1	1
YP_009006087.1	9
YP_009006137.1	1
YP_009006228.1	1
YP_009006237.1	1
YP_009006242.1	4
YP_009006252.1	8
YP_009006284.1	1
YP_009006286.1	1
YP_009006295.1	1
YP_009006315.1	8
YP_009006337.1	1
YP_009006338.1	2
>NC_019723	Enterobacteria phage HK630
YP_007112564.1	1
YP_007112588.1	5
>NC_024789	Escherichia phage vB_EcoS_AKS96
YP_009056085.1	1
YP_009056100.1	2
YP_009056105.1	1
