NC_011165|Pseudomonas phage LBL3|
YP_009049943.1|0|
YP_009049944.1|0|
YP_009049945.1|0|
YP_009049946.1|0|
YP_009049947.1|0|
YP_009049948.1|0|
YP_009049949.1|0|
YP_009049950.1|0|
YP_009049951.1|0|
YP_009049952.1|0|
YP_009049953.1|0|
YP_009049954.1|0|
YP_009049955.1|0|
YP_009049956.1|0|
YP_009049957.1|0|
YP_009049958.1|0|
YP_009049959.1|0|
YP_009049960.1|0|
YP_009049961.1|0|
YP_009049962.1|0|
YP_009049963.1|12|
YP_009049964.1|0|
*
NC_002321|Staphylococcus phage PVL|
NP_058440.1|0|
NP_058441.1|0|
NP_058442.1|0|
NP_058443.1|0|
NP_058444.1|0|
NP_058445.1|0|
NP_058446.1|0|
NP_058447.1|0|
NP_058448.1|0|
NP_058449.1|0|
NP_058450.1|0|
NP_058451.1|0|
NP_058452.1|0|
NP_058453.1|1|
NP_058454.1|6|
NP_058455.1|0|
NP_058456.1|0|
NP_058457.1|0|
NP_058458.1|0|
NP_058459.1|0|
NP_058460.1|0|
NP_058461.1|0|
NP_058462.1|0|
NP_058463.1|0|
NP_058464.1|0|
NP_058465.1|0|
NP_058466.1|0|
NP_058467.1|0|
NP_058468.1|0|
NP_058469.1|0|
NP_058470.1|0|
NP_058471.1|0|
NP_058472.1|0|
NP_058473.1|0|
NP_058474.1|0|
NP_058475.1|0|
NP_058476.1|0|
NP_058477.1|0|
NP_058478.1|0|
NP_058479.1|0|
NP_058480.1|0|
NP_058481.1|0|
NP_058482.1|0|
NP_058483.1|0|
NP_058484.1|0|
NP_058485.1|0|
NP_058486.1|0|
NP_058487.1|0|
NP_058488.1|0|
NP_058489.1|0|
NP_058490.1|0|
NP_058491.1|0|
NP_058492.1|0|
NP_058493.1|0|
NP_058494.1|0|
NP_058495.1|0|
NP_058496.1|0|
NP_058497.1|0|
NP_058498.1|0|
NP_058499.1|0|
NP_058500.1|0|
NP_058501.1|0|
*
NC_022987|Xylella phage Prado|
YP_008859386.1|0|
YP_008859387.1|0|
YP_008859388.1|0|
YP_008859389.1|0|
YP_008859390.1|0|
YP_008859391.1|0|
YP_008859392.1|0|
YP_008859393.1|0|
YP_008859394.1|0|
YP_008859395.1|0|
YP_008859396.1|0|
YP_008859397.1|0|
YP_008859398.1|0|
YP_008859399.1|0|
YP_008859400.1|0|
YP_008859401.1|0|
YP_008859402.1|1|
YP_008859403.1|0|
YP_008859404.1|0|
YP_008859405.1|0|
YP_008859406.1|0|
YP_008859407.1|0|
YP_008859408.1|0|
YP_008859409.1|0|
YP_008859410.1|0|
YP_008859411.1|0|
YP_008859412.1|0|
YP_008859413.1|0|
YP_008859414.1|0|
YP_008859415.1|0|
YP_008859416.1|0|
YP_008859417.1|0|
YP_008859418.1|0|
YP_008859419.1|0|
YP_008859420.1|0|
YP_008859421.1|0|
YP_008859422.1|0|
YP_008859423.1|0|
YP_008859424.1|0|
YP_008859425.1|0|
YP_008859426.1|0|
YP_008859427.1|0|
YP_008859428.1|0|
YP_008859429.1|0|
YP_008859430.1|0|
YP_008859431.1|0|
YP_008859432.1|1|
YP_008859433.1|0|
YP_008859434.1|2|
YP_008859435.1|0|
YP_008859436.1|0|
YP_008859437.1|0|
*
NC_023737|Mycobacterium phage Pleione|
YP_009017774.1|0|
YP_009017775.1|0|
YP_009017776.1|0|
YP_009017777.1|0|
YP_009017778.1|0|
YP_009017779.1|0|
YP_009017780.1|0|
YP_009017781.1|0|
YP_009017782.1|0|
YP_009017783.1|0|
YP_009017784.1|0|
YP_009017785.1|0|
YP_009017786.1|0|
YP_009017787.1|0|
YP_009017788.1|0|
YP_009017789.1|0|
YP_009017790.1|0|
YP_009017791.1|0|
YP_009017792.1|0|
YP_009017793.1|0|
YP_009017794.1|0|
YP_009017795.1|0|
YP_009017796.1|0|
YP_009017797.1|0|
YP_009017798.1|0|
YP_009017799.1|0|
YP_009017800.1|0|
YP_009017801.1|0|
YP_009017802.1|0|
YP_009017803.1|0|
YP_009017804.1|0|
YP_009017805.1|0|
YP_009017806.1|0|
YP_009017807.1|0|
YP_009017808.1|0|
YP_009017809.1|0|
YP_009017810.1|0|
YP_009017811.1|0|
YP_009017812.1|0|
YP_009017813.1|0|
YP_009017814.1|0|
YP_009017815.1|0|
YP_009017816.1|0|
YP_009017817.1|0|
YP_009017818.1|0|
YP_009017819.1|0|
YP_009017820.1|0|
YP_009017821.1|0|
YP_009017822.1|0|
YP_009017823.1|0|
YP_009017824.1|0|
YP_009017825.1|0|
YP_009017826.1|0|
YP_009017827.1|0|
YP_009017828.1|0|
YP_009017829.1|0|
YP_009017830.1|0|
YP_009017831.1|0|
YP_009017832.1|0|
YP_009017833.1|0|
YP_009017834.1|0|
YP_009017835.1|0|
YP_009017836.1|0|
YP_009017837.1|0|
YP_009017838.1|0|
YP_009017839.1|0|
YP_009017840.1|0|
YP_009017841.1|0|
YP_009017842.1|0|
YP_009017843.1|0|
YP_009017844.1|0|
YP_009017845.1|0|
YP_009017846.1|0|
YP_009017847.1|0|
YP_009017848.1|0|
YP_009017849.1|0|
YP_009017850.1|0|
YP_009017851.1|0|
YP_009017852.1|0|
YP_009017853.1|0|
YP_009017854.1|0|
YP_009017855.1|0|
YP_009017856.1|0|
YP_009017857.1|0|
YP_009017858.1|0|
YP_009017859.1|0|
YP_009017860.1|0|
YP_009017861.1|0|
YP_009017862.1|0|
YP_009017863.1|0|
YP_009017864.1|0|
YP_009017865.1|0|
YP_009017866.1|0|
YP_009017867.1|0|
YP_009017868.1|0|
YP_009017869.1|0|
YP_009017870.1|0|
YP_009017871.1|0|
YP_009017872.1|0|
YP_009017873.1|0|
YP_009017874.1|0|
YP_009017875.1|0|
YP_009017876.1|0|
YP_009017877.1|0|
YP_009017878.1|0|
YP_009017879.1|0|
YP_009017880.1|1|
YP_009017881.1|0|
YP_009017882.1|0|
YP_009017883.1|0|
YP_009017884.1|0|
YP_009017885.1|0|
YP_009017886.1|0|
YP_009017887.1|0|
YP_009017888.1|0|
YP_009017889.1|0|
YP_009017890.1|0|
YP_009017891.1|0|
YP_009017892.1|0|
YP_009017893.1|0|
YP_009017894.1|0|
YP_009017895.1|0|
YP_009017896.1|0|
YP_009017897.1|0|
YP_009017898.1|0|
YP_009017899.1|0|
YP_009017900.1|0|
YP_009017901.1|0|
YP_009017902.1|0|
YP_009017903.1|0|
YP_009017904.1|0|
YP_009017905.1|0|
YP_009017906.1|0|
YP_009017907.1|0|
YP_009017908.1|1|
YP_009017909.1|0|
YP_009017910.1|0|
YP_009017911.1|0|
YP_009017912.1|0|
YP_009017913.1|0|
YP_009017914.1|0|
YP_009017915.1|0|
YP_009017916.1|0|
YP_009017917.1|0|
YP_009017918.1|0|
YP_009017919.1|0|
YP_009017920.1|0|
YP_009017921.1|0|
YP_009017922.1|0|
YP_009017923.1|0|
YP_009017924.1|0|
YP_009017925.1|0|
YP_009017926.1|0|
YP_009017927.1|0|
YP_009017928.1|0|
YP_009017929.1|0|
YP_009017930.1|0|
YP_009017931.1|0|
YP_009017932.1|0|
YP_009017933.1|0|
YP_009017934.1|0|
YP_009017935.1|0|
YP_009017936.1|0|
YP_009017937.1|0|
YP_009017938.1|0|
YP_009017939.1|0|
YP_009017940.1|0|
YP_009017941.1|0|
YP_009017942.1|0|
YP_009017943.1|0|
YP_009017944.1|0|
YP_009017945.1|0|
YP_009017946.1|0|
YP_009017947.1|0|
YP_009017948.1|0|
YP_009017949.1|0|
YP_009017950.1|0|
YP_009017951.1|0|
YP_009017952.1|0|
YP_009017953.1|14|
YP_009017954.1|0|
YP_009017955.1|0|
YP_009017956.1|0|
YP_009017957.1|0|
YP_009017958.1|0|
YP_009017959.1|0|
YP_009017960.1|0|
YP_009017961.1|0|
YP_009017962.1|0|
YP_009017963.1|0|
YP_009017964.1|0|
YP_009017965.1|0|
YP_009017966.1|0|
YP_009017967.1|0|
YP_009017968.1|0|
YP_009017969.1|0|
YP_009017970.1|0|
YP_009017971.1|0|
YP_009017972.1|0|
YP_009017973.1|0|
YP_009017974.1|0|
YP_009017975.1|0|
YP_009017976.1|0|
YP_009017977.1|0|
YP_009017978.1|0|
YP_009017979.1|0|
YP_009017980.1|0|
YP_009017981.1|0|
YP_009017982.1|0|
YP_009017983.1|0|
YP_009017984.1|0|
YP_009017985.1|0|
YP_009017986.1|0|
YP_009017987.1|0|
YP_009017988.1|0|
YP_009017989.1|0|
YP_009017990.1|0|
YP_009017991.1|0|
YP_009017992.1|0|
YP_009017993.1|0|
YP_009017994.1|0|
YP_009017995.1|0|
YP_009017996.1|0|
YP_009017997.1|0|
YP_009017998.1|0|
YP_009017999.1|0|
YP_009018000.1|0|
YP_009018001.1|0|
YP_009018002.1|0|
YP_009018003.1|0|
YP_009018004.1|0|
YP_009018005.1|0|
YP_009018006.1|7|
YP_009018007.1|0|
YP_009018008.1|0|
YP_009018009.1|0|
YP_009018010.1|0|
YP_009018011.1|0|
*
NC_021534|Vibrio phage pYD38-A|
YP_008126165.1|0|
YP_008126166.1|0|
YP_008126167.1|0|
YP_008126168.1|0|
YP_008126169.1|0|
YP_008126170.1|0|
YP_008126171.1|0|
YP_008126172.1|0|
YP_008126173.1|0|
YP_008126174.1|0|
YP_008126175.1|0|
YP_008126176.1|0|
YP_008126177.1|0|
YP_008126178.1|0|
YP_008126179.1|0|
YP_008126180.1|0|
YP_008126181.1|0|
YP_008126182.1|0|
YP_008126183.1|0|
YP_008126184.1|0|
YP_008126185.1|0|
YP_008126186.1|0|
YP_008126187.1|0|
YP_008126188.1|0|
YP_008126189.1|1|
YP_008126190.1|0|
YP_008126191.1|0|
YP_008126192.1|2|
YP_008126193.1|0|
YP_008126194.1|0|
YP_008126195.1|0|
YP_008126196.1|0|
YP_008126197.1|0|
YP_008126198.1|0|
YP_008126199.1|0|
YP_008126200.1|0|
YP_008126201.1|0|
YP_008126202.1|0|
YP_008126203.1|0|
YP_008126204.1|0|
YP_008126205.1|0|
YP_008126206.1|0|
YP_008126207.1|0|
YP_008126208.1|1|
YP_008126209.1|0|
YP_008126210.1|0|
YP_008126211.1|0|
YP_008126212.1|0|
YP_008126213.1|0|
YP_008126214.1|0|
YP_008126215.1|0|
YP_008126216.1|0|
YP_008126217.1|0|
YP_008126218.1|0|
YP_008126219.1|0|
YP_008126220.1|1|
YP_008126221.1|0|
YP_008126222.1|0|
YP_008126223.1|0|
YP_008126224.1|0|
YP_008126225.1|0|
YP_008126226.1|11|
YP_008126227.1|0|
YP_008126228.1|0|
YP_008126229.1|0|
YP_008126230.1|0|
YP_008126231.1|0|
YP_008126232.1|0|
YP_008126233.1|0|
YP_008126234.1|0|
YP_008126235.1|0|
YP_008126236.1|4|
YP_008126237.1|0|
YP_008126238.1|0|
YP_008126239.1|0|
YP_008126240.1|0|
YP_008126241.1|0|
*
NC_002484|Pseudomonas phage D3|
NP_061497.1|0|
NP_061498.1|4|
NP_061499.1|0|
NP_061500.1|2|
NP_061501.1|3|
NP_061502.1|0|
YP_009173775.1|0|
YP_009173776.1|0|
NP_061505.1|0|
NP_061506.1|0|
NP_061507.2|0|
YP_009173777.1|0|
YP_009173778.1|0|
NP_061510.1|0|
NP_061511.1|0|
NP_061512.1|0|
NP_061513.1|0|
NP_061514.2|0|
YP_009173779.1|0|
NP_061517.1|0|
NP_061518.1|0|
NP_061519.1|0|
NP_061520.1|0|
NP_061521.1|0|
NP_061522.1|0|
NP_061523.1|0|
YP_009173780.1|0|
NP_061524.1|10|
NP_061525.2|0|
NP_061526.2|0|
NP_061527.1|0|
NP_061528.1|0|
NP_061529.1|0|
NP_061530.2|0|
NP_061531.1|1|
NP_061532.2|0|
NP_061533.1|0|
NP_061534.1|0|
NP_061535.1|0|
NP_061536.1|0|
YP_009173781.1|0|
NP_061537.1|0|
YP_009173782.1|0|
YP_009173783.1|0|
NP_061538.1|0|
YP_009173784.1|0|
YP_009173785.1|0|
NP_061540.1|0|
YP_009173786.1|0|
YP_009173787.1|0|
NP_061543.1|0|
NP_061544.1|0|
NP_061545.2|0|
NP_061546.1|0|
NP_061547.1|2|
NP_061548.2|0|
NP_061549.1|0|
NP_061550.2|0|
NP_061551.1|0|
NP_061552.1|0|
NP_061553.1|0|
NP_061554.1|0|
NP_061555.2|0|
NP_061556.1|0|
NP_061557.1|0|
NP_061558.1|0|
YP_009173788.1|0|
YP_009173789.1|0|
NP_061560.1|0|
NP_061561.1|0|
NP_061562.1|0|
NP_061563.1|0|
NP_061564.2|0|
NP_061565.1|0|
NP_061566.1|0|
NP_061567.1|0|
NP_061568.1|0|
NP_061569.1|0|
NP_061570.1|13|
NP_061571.1|0|
NP_061572.1|0|
NP_061573.1|0|
NP_061574.1|0|
NP_061575.1|0|
NP_061576.1|0|
NP_061577.1|0|
NP_061578.1|0|
NP_061579.1|0|
NP_061580.1|0|
NP_061581.1|0|
NP_061582.1|0|
NP_061583.1|0|
NP_061584.1|0|
NP_061585.1|0|
NP_061586.1|0|
NP_061587.1|0|
NP_061588.1|0|
NP_061589.1|0|
YP_009173790.1|0|
*
NC_024381|Pseudomonas phage vB_PaeS_SCH_Ab26|
YP_009044336.1|0|
YP_009044337.1|0|
YP_009044338.1|0|
YP_009044339.1|0|
YP_009044340.1|0|
YP_009044341.1|0|
YP_009044342.1|0|
YP_009044343.1|0|
YP_009044344.1|0|
YP_009044345.1|0|
YP_009044346.1|0|
YP_009044347.1|0|
YP_009044348.1|0|
YP_009044349.1|0|
YP_009044350.1|0|
YP_009044351.1|0|
YP_009044352.1|1|
YP_009044353.1|0|
YP_009044354.1|0|
YP_009044355.1|0|
YP_009044356.1|0|
YP_009044357.1|0|
YP_009044358.1|0|
YP_009044359.1|0|
YP_009044360.1|0|
YP_009044361.1|0|
YP_009044362.1|0|
YP_009044363.1|2|
YP_009044364.1|0|
YP_009044365.1|0|
YP_009044366.1|0|
YP_009044367.1|0|
YP_009044368.1|0|
YP_009044369.1|0|
YP_009044370.1|0|
YP_009044371.1|0|
YP_009044372.1|0|
YP_009044373.1|0|
YP_009044374.1|0|
YP_009044375.1|0|
YP_009044376.1|0|
YP_009044377.1|0|
YP_009044378.1|0|
YP_009044379.1|0|
YP_009044380.1|0|
YP_009044381.1|0|
YP_009044382.1|0|
YP_009044383.1|0|
YP_009044384.1|0|
YP_009044385.1|0|
YP_009044386.1|0|
YP_009044387.1|0|
*
NC_023736|Ralstonia phage RSB2|
YP_009017722.1|0|
YP_009017723.1|0|
YP_009017724.1|0|
YP_009017725.1|0|
YP_009017726.1|0|
YP_009017727.1|0|
YP_009017728.1|0|
YP_009017729.1|0|
YP_009017730.1|0|
YP_009017731.1|0|
YP_009017732.1|0|
YP_009017733.1|0|
YP_009017734.1|0|
YP_009017735.1|0|
YP_009017736.1|0|
YP_009017737.1|0|
YP_009017738.1|0|
YP_009017739.1|0|
YP_009017740.1|0|
YP_009017741.1|0|
YP_009017742.1|0|
YP_009017743.1|0|
YP_009017744.1|0|
YP_009017745.1|0|
YP_009017746.1|0|
YP_009017747.1|1|
YP_009017748.1|0|
YP_009017749.1|0|
YP_009017750.1|4|
YP_009017751.1|1|
YP_009017752.1|0|
YP_009017753.1|0|
YP_009017754.1|0|
YP_009017755.1|0|
YP_009017756.1|0|
YP_009017757.1|0|
YP_009017758.1|1|
YP_009017759.1|0|
YP_009017760.1|0|
YP_009017761.1|0|
YP_009017762.1|0|
YP_009017763.1|0|
YP_009017764.1|0|
YP_009017765.1|0|
YP_009017766.1|0|
YP_009017767.1|0|
YP_009017768.1|0|
YP_009017769.1|0|
YP_009017770.1|0|
YP_009017771.1|1|
YP_009017772.1|0|
YP_009017773.1|0|
*
NC_019769|Enterobacteria phage HK542|
YP_007151736.1|0|
YP_007151737.1|0|
YP_007151738.1|0|
YP_007151739.1|0|
YP_007151740.1|0|
YP_007151741.1|0|
YP_007151742.1|0|
YP_007151743.1|0|
YP_007151744.1|0|
YP_007151745.1|0|
YP_007151746.1|0|
YP_007151747.1|0|
YP_007151748.1|0|
YP_007151749.1|0|
YP_007151750.1|0|
YP_007151751.1|0|
YP_007151752.1|0|
YP_007151753.1|0|
YP_007151754.1|1|
YP_007151755.1|0|
YP_007151756.1|0|
YP_007151757.1|0|
YP_007151758.1|0|
YP_007151759.1|0|
YP_007151760.1|0|
YP_007151761.1|0|
YP_007151762.1|0|
YP_007151763.1|0|
YP_007151764.1|0|
